all_age_only_type,grids,population_share,with_pet_split_entropy,dominant_with_pet_type,dominant_with_pet_share,pet_mean_range_across_with_pet_subtypes,elder_mean_range_across_with_pet_subtypes,core_case_rate,countercase_rate
5,1327,0.2793422696710332,0.4916846266026425,5,0.506405425772419,0.9544589952274457,0.09682322035319246,0.0,0.0293896006028636
4,1829,0.20544319123568802,0.4093661288377882,4,0.644614543466375,0.8488422011492212,0.0,0.07654455986878075,0.0010934937124111536
3,2960,0.0902953190629687,0.21755409838408113,3,0.9111486486486486,0.831588562947934,0.334751724077631,0.002702702702702703,0.0
1,395,0.11547734534559949,0.1467018124240964,1,0.9443037974683545,0.9526164510947671,0.6718021801738219,0.0810126582278481,0.03291139240506329
2,3209,0.01818209886699301,0.09408487113405034,2,0.9598005609224057,0.013749501829643854,0.0045248104816430195,0.0,0.0
6,424,0.29125977581771767,0.052463118391186135,6,0.9834905660377359,0.936047003127906,0.9081757165913223,0.01179245283018868,0.14386792452830188
