scale_km,buffer_km,pet_threshold,elder_threshold,grid_count,grid_share,population_exposed_share,population_dense_grid_count,population_dense_grid_share_within_flag,mean_all_age_buffer_alignment,mean_service_density_pct,mean_transit_buffer_pct,mean_population_pct,mean_housing_price_pct
0.5,0.5,0.7,0.1,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.7,0.2,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.7,0.25,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.7,0.3,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.7,0.4,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.75,0.1,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.75,0.2,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.75,0.25,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.75,0.3,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.75,0.4,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.8,0.1,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.8,0.2,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.8,0.25,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.8,0.3,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.8,0.4,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.85,0.1,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.85,0.2,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
0.5,0.5,0.85,0.25,2475,0.08373650911797544,0.19511108433859312,1769,0.7147474747474748,0.5496698959523882,0.7808986526838209,0.7403666635776729,0.7662864126445125,0.4257528850631127
