context,tests,positive_excess_tests,above_perm_975_tests,min_excess_ratio,median_excess_ratio,max_excess_ratio,min_perm_excess_over_q975
all_observed,10,10,10,1.1887725371913485,1.3242220064443062,1.4738069666042344,104.44999999999999
daily_life_top_non_elite,10,10,10,1.129072717266427,1.2504676674348174,2.126068124703074,6.0
non_elite,10,10,10,1.229967842236453,1.362830031743,1.555579318814383,97.22500000000002
population_dense,10,10,10,1.1345062047360073,1.205495955337446,1.6005139473709276,19.0
