model,cv_scheme,balanced_accuracy,macro_f1,weighted_f1
random_forest_balanced,stratified_5fold,0.5082551241697779,0.4488027580521476,0.7424939836910179
random_forest_balanced,spatial_block_5fold,0.4568569756713889,0.41348817114290676,0.7266461607265582
hist_gradient_boosting,stratified_5fold,0.42366341020172016,0.43255682059139583,0.797546003658568
hist_gradient_boosting,spatial_block_5fold,0.40504729957498375,0.40575378392504335,0.7860345426736256
shallow_surrogate_tree,stratified_5fold,0.4683559973467579,0.41003031200181994,0.6830860151041231
shallow_surrogate_tree,spatial_block_5fold,0.4264080750421685,0.37189754630928623,0.6209291353482843
