grid_row_id,observed_label,target_class,feature,feature_value,shap_value
909,medical_only_professionalization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.923239496153521,0.05311030021097884
9708,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07082640125504212
5156,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.6960858906078282,-0.01481755230082596
8711,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.08778394486089769
7084,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.5892298588215403,-0.056247339743289826
6025,bundled_pet_service_maturity,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9786118860427764,0.013061364935053527
6834,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07143628038189778
5630,retail_only_absorption,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9256065601487868,0.07074025246494065
7267,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07881999241538085
8232,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08865979323369602
5459,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.6227914447544171,-0.042072864518032986
8090,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.08173518425999385
4651,bundled_pet_service_maturity,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.9287344661425312,0.052798079831371886
8191,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.5455237129089526,-0.06421176844449729
3377,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.769803026460394,-0.008069571072665403
5214,mixed_or_midlevel,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8523121142953758,0.0018778667445035902
1150,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.07757443353370864
8083,medical_only_professionalization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.8627948262744104,-0.003564618350730003
2464,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.400456505199087,-0.09065759787303054
617,low_pet_serviceization,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.0,-0.09077351496467845
5683,bundled_pet_service_maturity,bundled_pet_service_maturity,daily_life_buffer_1p0km_pct,0.991123510017753,0.05121150820479997
