scenario,retail_poi_retained_share,simulations,median_rho,rho_q2.5,rho_q97.5,median_M,share_O_above_q97.5,interpretation
baseline,1.0,0,1.2204688109835564,1.2204688109835564,1.2204688109835564,130.0,1.0,Stable
10pct_removal,0.9,1000,1.2296517233804214,1.2195816379948852,1.2412718067548785,130.0,1.0,Stable
15p8pct_removal,0.842,1000,1.235475785341135,1.222121889473132,1.2487431841056023,129.0,1.0,Stable
20pct_removal,0.8,1000,1.1454483295464142,1.1321637963070865,1.2479178107362434,103.0,1.0,Stable
