component,context,strata_spec,threshold,pair,pair_family,grids,O,E,Delta,rho,z_approx,q2.5,q50,q97.5,M,p_upper,R,seed,usable_grids,strata_used
spatial_ccem,all_observed,socio_spatial_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,10144,705,581.5063059868653,123.4936940131347,1.2123686239370277,6.904754679314025,563.0,581.0,601.0,104.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,10144,691,580.5676792147315,110.43232078526853,1.190214379371993,6.258705656313987,563.0,580.0,599.0249999999999,91.97500000000014,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.8,elder_care__health_care,formal_care_pair,10144,1026,871.9781569685086,154.02184303149136,1.1766349785262498,7.871826699222524,852.0,872.0,890.0,136.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.8,health_care__transit,urban_service_pair,10144,1532,1304.5493089955633,227.45069100443675,1.1743519309205432,10.963134063133165,1283.0,1305.0,1328.0,204.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.8,daily_life__health_care,urban_service_pair,10144,1960,1483.0937278865656,476.9062721134344,1.3215617888109028,22.064957023579307,1459.0,1484.0,1507.0,453.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.9,pet_retail__pet_medical,companion_animal_pair,10144,527,357.57735710413215,169.42264289586785,1.4738069666042342,10.809358877675985,341.0,358.0,375.02499999999986,151.97500000000014,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.9,pet_retail__elder_care,pet_formal_care_contrast,10144,434,352.81618877711196,81.18381122288804,1.2301022850008028,5.349121883705643,338.0,353.0,369.0,65.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.9,pet_medical__elder_care,pet_formal_care_contrast,10144,401,316.3851517051317,84.6148482948683,1.2674425390662094,5.732731196504505,300.0,316.0,333.0,68.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.9,elder_care__health_care,formal_care_pair,10144,595,482.565022772181,112.43497722781899,1.2329944606882532,7.092049450760085,469.0,483.0,498.0,97.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.9,health_care__transit,urban_service_pair,10144,847,692.5662498186508,154.43375018134918,1.2229876928334118,9.148798669499149,677.0,692.0,708.0249999999999,138.97500000000014,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,socio_spatial_q4,0.9,daily_life__health_care,urban_service_pair,10144,986,714.6613376748297,271.3386623251703,1.3796744668012657,15.875804587001268,697.975,715.0,732.0,254.0,0.0004997501249375312,2000,20260609,10101,218
spatial_ccem,all_observed,base_plus_spatial_q4,0.8,pet_retail__pet_medical,companion_animal_pair,10144,823,672.0607268666558,150.93927313334416,1.2245917178304218,8.253132000603275,655.0,672.0,689.0,134.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,10144,705,627.5328746839612,77.46712531603885,1.123447118774539,4.325680631858856,611.0,627.0,644.0,61.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,10144,691,624.1946935515698,66.8053064484302,1.1070263927883117,3.8028473324154857,608.0,624.0,640.0,51.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.8,elder_care__health_care,formal_care_pair,10144,1026,942.7581014888895,83.24189851111055,1.0882961370256563,4.424719677906627,931.0,943.0,955.0,71.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.8,health_care__transit,urban_service_pair,10144,1532,1412.1798137463986,119.82018625360138,1.0848476837632512,6.61380064033255,1396.0,1412.0,1428.0,104.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.8,daily_life__health_care,urban_service_pair,10144,1960,1785.174186513064,174.8258134869361,1.0979320756527513,11.282901299027841,1776.0,1785.0,1795.0,165.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.9,pet_retail__pet_medical,companion_animal_pair,10144,527,391.2362727239828,135.76372727601722,1.3470121170789258,8.506791169072931,374.0,391.0,409.0,118.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.9,pet_retail__elder_care,pet_formal_care_contrast,10144,434,377.6392378848577,56.36076211514228,1.1492449842628023,3.6671322873912313,362.0,377.0,394.0,40.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.9,pet_medical__elder_care,pet_formal_care_contrast,10144,401,338.851053381863,62.14894661813702,1.1834108113221629,4.148645679597708,323.0,339.0,355.0,46.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.9,elder_care__health_care,formal_care_pair,10144,595,519.2416373445728,75.75836265542716,1.1459019408436872,4.753568636758492,506.0,519.0,533.0249999999999,61.975000000000136,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.9,health_care__transit,urban_service_pair,10144,847,751.4625113779755,95.53748862202451,1.1271354021996853,5.802700192766968,738.0,751.0,765.0,82.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,base_plus_spatial_q4,0.9,daily_life__health_care,urban_service_pair,10144,986,801.8570831164577,184.14291688354228,1.229645557494936,10.760128872909226,787.0,802.0,817.0,169.0,0.0004997501249375312,2000,20260609,8457,652
spatial_ccem,all_observed,fine_base_context_q5,0.8,pet_retail__pet_medical,companion_animal_pair,10144,823,692.310744277841,130.68925572215903,1.1887725371913487,7.1076292311279925,674.975,692.0,710.0,113.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.8,pet_retail__elder_care,pet_formal_care_contrast,10144,705,649.6730784425065,55.326921557493506,1.0851611732013453,2.993379335270088,631.0,650.0,667.0,38.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.8,pet_medical__elder_care,pet_formal_care_contrast,10144,691,639.9987211662268,51.0012788337732,1.0796896574118726,2.813402882606976,622.0,641.0,659.0,32.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.8,elder_care__health_care,formal_care_pair,10144,1026,972.79727095347,53.20272904652995,1.054690458778101,2.6471625508609185,959.0,973.0,987.0,39.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.8,health_care__transit,urban_service_pair,10144,1532,1474.6306024084397,57.3693975915603,1.0389042499849535,2.9815352544593625,1457.0,1474.0,1492.0,40.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.8,daily_life__health_care,urban_service_pair,10144,1960,1880.6764703885724,79.3235296114276,1.0421781900610678,5.423286324438174,1869.0,1881.0,1892.0,68.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.9,pet_retail__pet_medical,companion_animal_pair,10144,527,402.9651981878901,124.03480181210989,1.3078052456387967,7.666231760360044,387.0,403.0,420.0,107.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.9,pet_retail__elder_care,pet_formal_care_contrast,10144,434,387.9384781308885,46.061521869111516,1.1187340892067186,2.88824498832781,371.975,388.0,405.0,29.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.9,pet_medical__elder_care,pet_formal_care_contrast,10144,401,347.5540237470795,53.4459762529205,1.15377746364926,3.466277143622468,331.0,348.0,365.0,36.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.9,elder_care__health_care,formal_care_pair,10144,595,527.175695776803,67.82430422319703,1.1286559770614173,4.021908671718773,513.0,527.0,542.0,53.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.9,health_care__transit,urban_service_pair,10144,847,769.260789424597,77.73921057540304,1.1010570298709124,4.64193301473641,755.0,769.0,784.0,63.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,all_observed,fine_base_context_q5,0.9,daily_life__health_care,urban_service_pair,10144,986,843.5165843368144,142.4834156631856,1.1689159624232026,8.260825763177383,829.0,844.0,858.0,128.0,0.0004997501249375312,2000,20260609,9931,312
spatial_ccem,non_elite,base_context_q4,0.8,pet_retail__pet_medical,companion_animal_pair,9907,698,553.7519583872855,144.24804161271447,1.2604921561502265,8.314611755690816,536.0,554.0,572.0,126.0,0.0004997501249375312,2000,20260609,9814,180
spatial_ccem,non_elite,base_context_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,9907,557,481.3274476210154,75.67255237898462,1.1572163664320412,4.337369057072144,462.0,481.0,501.0,56.0,0.0004997501249375312,2000,20260609,9814,180
spatial_ccem,non_elite,base_context_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,9907,551,476.51564208671766,74.48435791328234,1.1563104153036963,4.37866127229652,459.0,477.0,494.0,57.0,0.0004997501249375312,2000,20260609,9814,180
