component,context,threshold,pair,O,E,Delta,rho,z_approx,q2.5,q50,q97.5,M,p_upper,R,seed,usable_grids,strata_used
base_ccem_seed_sensitivity,all_observed,0.8,pet_retail__pet_medical,823,674.3310378712238,148.66896212877623,1.2204688109835564,7.923296834465214,656.0,675.0,693.0,130.0,0.000999000999000999,1000,20260609,10043,167
base_ccem_seed_sensitivity,all_observed,0.8,pet_retail__pet_medical,823,674.3310378712238,148.66896212877623,1.2204688109835564,7.923296834465214,656.0,674.0,693.0,130.0,0.000999000999000999,1000,20260610,10043,167
base_ccem_seed_sensitivity,all_observed,0.8,pet_retail__pet_medical,823,674.3310378712238,148.66896212877623,1.2204688109835564,7.923296834465214,657.0,675.0,693.0,130.0,0.000999000999000999,1000,20260611,10043,167
base_ccem_seed_sensitivity,all_observed,0.8,pet_retail__pet_medical,823,674.3310378712238,148.66896212877623,1.2204688109835564,7.923296834465214,657.0,675.0,693.025,129.97500000000002,0.000999000999000999,1000,20260612,10043,167
base_ccem_seed_sensitivity,all_observed,0.8,pet_retail__pet_medical,823,674.3310378712238,148.66896212877623,1.2204688109835564,7.923296834465214,655.0,674.0,693.0,130.0,0.000999000999000999,1000,20260613,10043,167
