grid_scale_km,active_grids,threshold,O,E,Delta,rho,z_approx,q2.5,q50,q97.5,M,p_upper,R,seed,usable_grids,strata_used
0.5,31393,0.8,336,182.51539296345305,153.48460703654695,1.8409406162650663,11.687294977549769,161.0,182.0,204.0,132.0,0.0004997501249375312,2000,20260609,31393,64
1.0,11830,0.8,395,281.5073318230611,113.49266817693888,1.4031606119881583,7.666392295504734,264.0,281.0,298.0,97.0,0.0004997501249375312,2000,20260609,11825,57
2.0,3901,0.8,293,243.1117306653841,49.8882693346159,1.2052071662608559,4.298189404595983,233.0,243.0,254.0,39.0,0.0004997501249375312,2000,20260609,3887,33
