component,context,strata_spec,threshold,pair,pair_family,grids,O,E,Delta,rho,z_approx,q2.5,q50,q97.5,M,p_upper,R,seed,usable_grids,strata_used
base_ccem,non_elite,base_context_q4,0.7,pet_medical__elder_care,pet_formal_care_contrast,9907,750,679.1819130643664,70.81808693563357,1.104269689126604,3.7927720258407236,660.0,679.0,698.0,52.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.7,elder_care__health_care,formal_care_pair,9907,1517,1429.9861407906799,87.01385920932012,1.0608494423318031,3.511037932007569,1409.0,1430.0,1452.0,65.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.7,health_care__transit,urban_service_pair,9907,1874,1798.4752449264563,75.5247550735437,1.0419937696037802,3.215301427383841,1776.0,1799.0,1820.0,54.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.7,daily_life__health_care,urban_service_pair,9907,2545,2415.8353489038514,129.16465109614865,1.0534658337352152,6.935409006050106,2398.0,2416.0,2434.0,111.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.7,education_child__recreation,age_related_public_life_pair,9907,1678,1615.5855139659454,62.41448603405456,1.038632734382991,2.645604081274789,1591.0,1616.0,1641.0,37.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.7,daily_life__transit,urban_service_pair,9907,1949,1921.819706858369,27.180293141630955,1.0141429984533061,1.1597415604919845,1905.0,1922.0,1939.0,10.0,0.0009998000399920016,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,pet_retail__pet_medical,companion_animal_pair,9907,698,553.7519583872855,144.24804161271447,1.2604921561502265,8.314611755690816,536.0,554.0,571.0,127.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,9907,557,481.3274476210154,75.67255237898462,1.1572163664320412,4.337369057072144,462.975,481.0,500.0,57.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,9907,551,476.51564208671766,74.48435791328234,1.1563104153036963,4.37866127229652,458.0,476.0,494.0,57.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,elder_care__health_care,formal_care_pair,9907,828,767.4430581671867,60.55694183281332,1.0789074071207783,3.006491458624898,752.0,767.0,783.0,45.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,health_care__transit,urban_service_pair,9907,1307,1227.999770854236,79.00022914576402,1.0643324461622732,3.907071465569267,1210.0,1228.0,1246.0,61.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,daily_life__health_care,urban_service_pair,9907,1731,1653.2419558505017,77.75804414949835,1.0470336745775946,4.071457953615757,1639.0,1653.0,1667.0,64.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,education_child__recreation,age_related_public_life_pair,9907,1206,1132.983929203154,73.01607079684595,1.0644458133207586,3.592481279361807,1112.0,1133.0,1155.0,51.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.8,daily_life__transit,urban_service_pair,9907,1294,1258.6977155452535,35.30228445474654,1.0280466739700516,1.783079777500409,1245.0,1259.0,1273.0,21.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,pet_retail__pet_medical,companion_animal_pair,9907,446,314.52230862250303,131.47769137749697,1.4180234208292664,8.93982438022072,298.0,315.0,331.0,115.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,pet_retail__elder_care,pet_formal_care_contrast,9907,331,264.54573524954634,66.45426475045366,1.251201421515139,4.728551495328524,248.0,264.0,281.0,50.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,pet_medical__elder_care,pet_formal_care_contrast,9907,310,239.1116871637399,70.8883128362601,1.2964652781179906,5.2585220216854145,223.0,239.0,255.0,55.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,elder_care__health_care,formal_care_pair,9907,424,339.26915101118425,84.73084898881575,1.2497452206788542,5.58186170331003,324.0,339.0,355.0,69.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,health_care__transit,urban_service_pair,9907,639,536.7310296549974,102.26897034500257,1.1905404470666425,6.208573669218728,521.0,537.0,552.0,87.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,daily_life__health_care,urban_service_pair,9907,780,577.0347950006947,202.96520499930534,1.3517382430968674,11.915554246844234,560.0,577.0,594.0,186.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,education_child__recreation,age_related_public_life_pair,9907,624,497.48114180731494,126.51885819268506,1.2543189028895663,7.7417042049168305,482.0,497.0,514.0,110.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,non_elite,base_context_q4,0.9,daily_life__transit,urban_service_pair,9907,627,534.9983435704494,92.00165642955062,1.1719662453822826,5.478822752432286,519.0,535.0,551.0,76.0,0.0001999600079984003,5000,20260609,9814,180
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,pet_retail__pet_medical,companion_animal_pair,2071,804,708.4211315037481,95.57886849625186,1.1349181500181522,6.565999243226465,696.0,708.0,722.0,82.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,pet_retail__elder_care,pet_formal_care_contrast,2071,961,885.2371948635906,75.76280513640938,1.085584751268934,4.573540771643117,870.0,885.0,901.0,60.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,pet_medical__elder_care,pet_formal_care_contrast,2071,716,650.7858532557461,65.21414674425387,1.1002083041879307,4.359265941583358,637.0,651.0,665.0,51.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,elder_care__health_care,formal_care_pair,2071,1201,1122.8042935116775,78.19570648832246,1.0696432200519628,4.339438305189534,1113.0,1123.0,1132.0,69.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,health_care__transit,urban_service_pair,2071,1511,1388.1354805030114,122.86451949698858,1.088510466897991,7.731634105449478,1379.0,1388.0,1397.0,114.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,daily_life__health_care,urban_service_pair,2071,1939,1807.0,132.0,1.0730492529053681,13.120016355481464,1807.0,1807.0,1807.0,132.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,education_child__recreation,age_related_public_life_pair,2071,1366,1245.4164462088993,120.58355379110071,1.0968218736456887,7.862515362955253,1232.0,1245.0,1259.0,107.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.7,daily_life__transit,urban_service_pair,2071,1567,1455.0,112.0,1.076975945017182,7.101286994271425,1455.0,1455.0,1455.0,112.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,pet_retail__pet_medical,companion_animal_pair,2071,680,583.0448231043749,96.95517689562507,1.166291120431179,6.959731920142432,569.0,583.0,597.0,83.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,2071,541,506.2294867682673,34.77051323173271,1.0686852783975607,2.390053201110121,492.0,506.0,520.0,21.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,2071,535,488.93165371418075,46.068346285819246,1.0942224663424018,3.2292419633069973,475.0,489.0,503.0,32.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,elder_care__health_care,formal_care_pair,2071,774,713.495459609145,60.50454039085503,1.0848001757768713,3.601565126794972,703.0,713.0,724.0,50.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,health_care__transit,urban_service_pair,2071,1200,1089.8125189323296,110.18748106767043,1.1011068226447052,7.058872700399131,1078.0,1090.0,1102.0,98.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,daily_life__health_care,urban_service_pair,2071,1731,1606.0,125.0,1.0778331257783313,9.018011051886305,1606.0,1606.0,1606.0,125.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,education_child__recreation,age_related_public_life_pair,2071,1107,1011.4394335434464,95.5605664565536,1.0944797713905317,6.684022614668652,998.0,1011.0,1026.0,81.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.8,daily_life__transit,urban_service_pair,2071,1294,1200.0,94.0,1.0783333333333334,5.688908655160175,1200.0,1200.0,1200.0,94.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,pet_retail__pet_medical,companion_animal_pair,2071,442,376.39358689237474,65.60641310762526,1.1743026857850918,5.147027500397021,364.0,376.0,388.0,54.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,pet_retail__elder_care,pet_formal_care_contrast,2071,328,318.60071367575495,9.399286324245054,1.0295017742295796,0.7614035194226163,306.0,318.0,331.0,-3.0,0.07598480303939212,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,pet_medical__elder_care,pet_formal_care_contrast,2071,307,277.11493792659815,29.885062073401855,1.1078435623030822,2.5016203134357187,265.0,277.0,290.0,17.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,elder_care__health_care,formal_care_pair,2071,423,391.1203076603997,31.879692339600297,1.0815086604178086,2.484100238427732,382.0,391.0,401.0,22.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,health_care__transit,urban_service_pair,2071,639,586.7898198448142,52.21018015518575,1.0889759474167318,4.3389946528225325,575.0,587.0,598.0,41.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,daily_life__health_care,urban_service_pair,2071,780,729.8960627579049,50.10393724209507,1.0686453041721828,4.765809070783472,724.0,730.0,736.0,44.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,education_child__recreation,age_related_public_life_pair,2071,616,565.1482040188669,50.85179598113314,1.0899795763651325,4.3219521416487705,554.0,565.0,577.0,39.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,daily_life_top_non_elite,base_context_q4,0.9,daily_life__transit,urban_service_pair,2071,627,594.3008206648299,32.69917933517013,1.0550212589284167,2.8694942789095217,588.0,594.0,600.0,27.0,0.0001999600079984003,5000,20260609,1936,125
base_ccem,population_dense,base_context_q4,0.7,pet_retail__pet_medical,companion_animal_pair,3043,935,839.9062703272591,95.09372967274089,1.1132194543989877,5.613342476500057,825.975,840.0,855.0,80.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.7,pet_retail__elder_care,pet_formal_care_contrast,3043,1155,1088.0793755963482,66.9206244036518,1.0615034398266894,3.678561036344361,1069.0,1088.0,1106.0,49.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.7,pet_medical__elder_care,pet_formal_care_contrast,3043,855,802.1072463399445,52.89275366005552,1.0659422463784087,3.12550123874947,786.0,802.0,817.0,38.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.7,elder_care__health_care,formal_care_pair,3043,1439,1359.4372736807804,79.56272631921956,1.058526221003046,4.120731765719052,1345.0,1359.0,1373.0,66.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.7,health_care__transit,urban_service_pair,3043,1757,1666.4728601874222,90.52713981257784,1.0543226007307414,5.100714475458389,1653.0,1667.0,1681.0,76.0,0.0001999600079984003,5000,20260609,2934,127
base_ccem,population_dense,base_context_q4,0.7,daily_life__health_care,urban_service_pair,3043,2137,2038.4960321318438,98.50396786815622,1.048321883543301,7.607383808030192,2031.0,2039.0,2046.0,91.0,0.0001999600079984003,5000,20260609,2934,127
