context,tests,above_q97_5,min_rho,median_rho,min_M
all_observed,10,10,1.1887725371913487,1.3242220064443062,107.0
daily_life_top_non_elite,10,10,1.1290727172664268,1.2504676674348174,49.0
non_elite,10,10,1.2299678422364533,1.362830031743,99.0
population_dense,10,10,1.1345062047360068,1.2054959553374465,69.0
